,detector_name,dataset_name,Average precision
0,kNN,odd,70.18557328634898
1,kNN,odd,89.68673887439526
2,kNN,odd,68.78383999892675
3,kNN,odd,47.336205982462396
4,kNN,odd,8.03449908988078
6,kNN,odd,9.943221871210351
7,kNN,odd,74.08208037108292
8,kNN,odd,72.78039310815936
9,kNN,odd,7.106622187224021
11,kNN,odd,20.844862525106787
12,kNN,odd,21.4190900202627
14,kNN,odd,13.23529411764706
15,kNN,odd,78.21614781355798
16,kNN,odd,81.53371663855056
17,kNN,odd,14.074933370784711
18,kNN,odd,23.44538141857178
19,kNN,odd,96.188937674132
20,kNN,odd,37.062219073801835
21,kNN,odd,53.724431558631835
22,kNN,odd,4.867021099837089
24,kNN,odd,17.250411434112614
25,kNN,odd,0.14879995754140657
26,kNN,ucr,1.1494533238219953
27,kNN,ucr,0.48880403675447115
28,kNN,ucr,1.8008237253425472
29,kNN,ucr,11.721170659492412
30,kNN,ucr,6.617502147762368
31,kNN,ucr,1.4228207596251552
32,kNN,ucr,5.418834735258545
33,kNN,ucr,0.010344273330712785
34,kNN,ucr,2.5064807797612754
35,kNN,ucr,8.254617621943236
36,kNN,ucr,1.3729116888564603
38,kNN,ucr,2.8320510643541956
39,kNN,ucr,1.6168124268578836
40,kNN,ucr,0.9115002618166788
41,kNN,ucr,0.2708905072240026
42,kNN,ucr,0.2563529343513257
43,kNN,ucr,0.06777355009800531
44,kNN,ucr,18.270936093689244
45,kNN,ucr,5.432215887061537
46,kNN,ucr,0.5673857484537135
47,kNN,ucr,7.851480956670088
48,kNN,ucr,0.4396389682618962
49,kNN,ucr,0.06633129153143075
50,kNN,ucr,0.3047304900311347
51,kNN,ucr,3.5631563620354627
52,kNN,ucr,2.3127031560774696
53,kNN,ucr,1.9300794440351938
54,kNN,ucr,2.591627969175513
55,kNN,ucr,0.06846962210550571
56,kNN,ucr,2.146166960611405
57,kNN,ucr,2.622881993825436
58,kNN,ucr,0.46858227767627386
60,kNN,ucr,1.9022478024164964
61,kNN,ucr,2.6787498945043953
62,kNN,ucr,1.275734858869084
63,kNN,ucr,0.6733088186182347
64,kNN,ucr,0.3638923445008775
65,kNN,ucr,1.3404330579992938
66,kNN,ucr,0.3984663621893257
67,kNN,ucr,7.3671225503570374
68,kNN,ucr,0.7968664814141504
69,kNN,ucr,2.2654027382695214
70,kNN,ucr,3.8237605467833777
71,kNN,ucr,1.3495002328436665
72,kNN,ucr,0.2450675484327293
75,kNN,ucr,0.3142983356744883
76,kNN,ucr,2.3925579634548586
77,kNN,ucr,5.1145202450006995
78,kNN,ucr,3.126097145073488
79,kNN,ucr,2.3304504073605576
80,kNN,ucr,1.0417160333906774
81,kNN,ucr,1.5769997834107337
82,kNN,ucr,3.4844592985410134
83,kNN,ucr,3.3099814157342253
84,kNN,ucr,19.34031808823493
85,kNN,ucr,2.9879911193669986
86,kNN,ucr,0.12337820688799672
87,kNN,ucr,0.6380404852207059
88,kNN,ucr,0.13452117187148127
89,kNN,ucr,2.6292545048651563
90,kNN,ucr,0.5282157485911774
91,kNN,ucr,0.589393627424669
92,kNN,ucr,2.790377142297477
93,kNN,ucr,0.6408414447078952
94,kNN,ucr,21.02626313929075
95,kNN,ucr,5.321130360989108
96,kNN,ucr,4.568660370173096
97,kNN,ucr,0.2774539365087494
98,kNN,ucr,0.1566477839142337
99,kNN,ucr,8.572796943323322
100,kNN,ucr,2.808839888228548
101,kNN,ucr,0.08421072747022212
102,kNN,ucr,0.23212005103786415
103,kNN,ucr,0.8759647482106636
104,kNN,ucr,0.33125375288892783
105,kNN,ucr,0.6852045361380119
106,kNN,ucr,0.002105572122319557
107,kNN,ucr,0.4684803427718728
108,kNN,ucr,3.60049946888382
109,kNN,ucr,0.9893048090627413
111,kNN,ucr,3.539152360570913
112,kNN,ucr,2.9969259249304554
113,kNN,ucr,0.054466230936819175
114,kNN,ucr,1.3022136163717468
116,kNN,ucr,4.0775272790692
117,kNN,ucr,2.6297922571096617
118,kNN,ucr,0.16551343360704693
119,kNN,ucr,0.634430693045617
120,kNN,ucr,2.3694359622680796
121,kNN,ucr,1.080253673636111
122,kNN,ucr,0.016031746031746032
123,kNN,ucr,3.3313366046087074
124,kNN,ucr,9.627582504894066
125,kNN,ucr,0.704095572223384
126,kNN,ucr,1.447654787508925
127,kNN,ucr,0.2568239162177389
128,kNN,ucr,1.0531143723984484
129,kNN,ucr,2.2667518727946763
130,kNN,ucr,0.6918958281987158
131,kNN,ucr,2.588340779148334
132,kNN,ucr,2.962306018433072
133,kNN,ucr,0.45981830873084845
134,kNN,ucr,0.5615462211317854
135,kNN,ucr,7.392446888771237
136,kNN,ucr,1.1228536067214825
137,kNN,ucr,2.031682824835168
138,kNN,ucr,8.163686942378048
139,kNN,ucr,0.33700732823304147
140,kNN,ucr,0.33538942989974885
141,kNN,ucr,2.733207591936798
142,kNN,ucr,1.5138128809420652
144,kNN,ucr,0.026271547233088985
145,kNN,ucr,1.4297766193527426
146,kNN,ucr,0.30075187969924816
147,kNN,ucr,1.3328182313922152
148,kNN,ucr,0.8268768771591017
149,kNN,ucr,0.06932754347122717
150,kNN,ucr,1.145118145458841
151,kNN,ucr,3.93106811452359
152,kNN,ucr,0.7491010234885724
153,kNN,ucr,5.030387184665177
154,kNN,ucr,8.052397237937106
155,kNN,ucr,8.804612478871004
156,kNN,ucr,0.5418942815796771
157,kNN,ucr,1.6308227251296559
159,kNN,ucr,8.92308277102211
160,kNN,ucr,1.7993483384868603
161,kNN,ucr,6.52867833063039
162,kNN,ucr,2.732146436532524
163,kNN,ucr,0.14477559871141313
164,kNN,ucr,0.9500598846922559
165,kNN,ucr,3.490922117481988
166,kNN,ucr,0.11528483099998302
167,kNN,ucr,10.90383630442194
168,kNN,ucr,3.113939738606606
169,kNN,ucr,0.0014652014652014652
170,kNN,ucr,0.31888628245701994
171,kNN,ucr,3.0196868724764654
172,kNN,ucr,3.608258701960117
173,kNN,ucr,5.400749715489093
174,kNN,ucr,31.77874682791334
175,kNN,ucr,1.6530324346347203
176,kNN,ucr,3.29342775567564
177,kNN,ucr,4.2171787430775165
178,kNN,ucr,2.593038400543449
179,kNN,ucr,9.118819717007467
180,kNN,ucr,1.2703447051730443
181,kNN,ucr,2.3849465838443353
182,kNN,ucr,0.24503369503015862
183,kNN,ucr,0.37061560789920006
184,kNN,ucr,13.018041956574947
185,kNN,ucr,25.262613599253854
186,kNN,ucr,4.985929306278437
187,kNN,ucr,1.4182929692390063
188,kNN,ucr,1.049964639321075
189,kNN,ucr,2.0887192918113278
190,kNN,ucr,0.888454814549027
191,kNN,ucr,0.7349260633968433
192,kNN,ucr,0.0013562163767806797
193,kNN,ucr,1.3805134521037352
194,kNN,ucr,24.19799579372363
195,kNN,ucr,0.4988403530970645
196,kNN,ucr,6.511975483262613
197,kNN,ucr,0.4039244489919581
198,kNN,ucr,0.4707219864932721
199,kNN,ucr,0.04245436514920446
200,kNN,ucr,4.384446467069649
201,kNN,ucr,0.2472589433390882
202,kNN,ucr,0.6468663815403359
203,kNN,ucr,0.0012215868472989404
204,kNN,ucr,0.0029364263691087945
205,kNN,ucr,2.130864178298203
206,kNN,ucr,1.6215657956971303
207,kNN,ucr,0.4671874244603942
208,kNN,ucr,0.9233019130901619
209,kNN,ucr,1.2016874608569599
210,kNN,ucr,0.37578159709809694
211,kNN,ucr,0.013688349643916433
212,kNN,ucr,20.63366892701921
213,kNN,ucr,0.5868696924182468
214,kNN,ucr,24.916769382159536
215,kNN,ucr,0.5544443648958052
216,kNN,ucr,0.20470578846490572
217,kNN,ucr,2.6596431637871745
218,kNN,ucr,0.33753451661303513
219,kNN,ucr,1.2514513195625374
220,kNN,ucr,17.376144928359395
221,kNN,ucr,2.2733981390955083
222,kNN,ucr,0.05279551540152928
223,kNN,ucr,0.8978733620822701
224,kNN,ucr,0.9043811276660381
225,kNN,ucr,38.04171059731448
226,kNN,ucr,0.0008410924108231771
227,kNN,ucr,2.134562268951981
228,kNN,ucr,0.9249849834973981
229,kNN,ucr,0.5182297761249318
230,kNN,ucr,0.7992968773357829
231,kNN,ucr,2.5653635457906008
232,kNN,ucr,2.102124652725281
233,kNN,ucr,1.9000683025447687
234,kNN,ucr,1.5218428548344038
235,kNN,ucr,0.10616378441889883
236,kNN,ucr,2.703618754142379
237,kNN,ucr,1.7191271045525196
238,kNN,ucr,18.921280125782992
239,kNN,ucr,0.36328818614965036
240,kNN,ucr,0.16082723328458637
241,kNN,ucr,3.496528892119657
243,kNN,ucr,1.326626537029614
244,kNN,ucr,0.000837058242512514
245,kNN,ucr,0.07472445357743321
246,kNN,ucr,1.5302957783156954
247,kNN,ucr,1.3953781612799787
248,kNN,ucr,3.752156595912138
249,kNN,ucr,7.316842701109783
250,kNN,ucr,0.027034708079477186
251,kNN,ucr,1.9384488773275512
253,kNN,ucr,1.894152109087726
254,kNN,ucr,7.7039507411826245
255,kNN,ucr,3.9712678380026567
256,kNN,ucr,0.20213867489662007
257,kNN,ucr,1.0173275748136403
258,kNN,ucr,3.1320897724844587
259,kNN,ucr,5.948198093227234
260,kNN,ucr,1.2576411329797061
261,kNN,ucr,3.2294973787279226
262,kNN,ucr,0.3386596708800382
263,kNN,ucr,0.35504963764077807
264,kNN,ucr,0.934960418378218
265,kNN,ucr,2.4506590883519688
266,kNN,ucr,12.95800071014805
267,kNN,ucr,21.341004437846824
268,kNN,ucr,0.0012811867329341384
269,kNN,ucr,0.28600713514761655
270,kNN,ucr,0.5197775418314514
271,kNN,ucr,3.5647551312318893
272,kNN,ucr,0.4534707701173194
273,kNN,ucr,10.006694164119354
274,kNN,ucr,0.9195127262211299
275,kNN,ucr,0.8540544847269217
276,kNN,nab,14.92344323908156
277,kNN,nab,9.32960605320711
278,kNN,nab,8.654319749105992
279,kNN,nab,15.1349759880874
280,kNN,nab,16.977376360322495
281,kNN,nab,16.746111552344917
282,kNN,nab,26.163953948039083
283,kNN,nab,17.566455264718762
286,kNN,nab,14.608093647511252
287,kNN,nab,28.156582281278116
288,kNN,nab,9.868544026536824
289,kNN,nab,10.508153942194715
290,kNN,nab,8.354761944067771
291,kNN,nab,18.64765314224779
292,kNN,nab,32.89954401047857
293,kNN,nab,24.138569958688716
294,kNN,nab,15.429797720005645
295,kNN,nab,15.886336822037045
296,kNN,nab,40.072311804692575
297,kNN,nab,22.12088258702687
298,kNN,nab,19.036050971810063
299,kNN,nab,2.1647193412799552
300,kNN,nab,44.52849510942066
301,kNN,nab,49.5410065406443
302,kNN,nab,29.230564563151223
303,kNN,nab,14.275593340417995
304,kNN,nab,9.922932274049073
305,kNN,nab,38.86635225280967
306,kNN,nab,14.070359669848449
307,kNN,nab,16.958832824913923
308,kNN,nab,12.983156791212402
309,kNN,nab,16.477587712319977
310,kNN,nab,14.372546948734954
317,kNN,nab,9.568630762071777
318,kNN,nab,13.17569934746617
319,kNN,nab,11.685413464884817
320,kNN,nab,13.344279401781778
321,kNN,nab,14.90329351323581
322,kNN,nab,9.107320547367674
323,kNN,nab,13.300585839779469
324,kNN,nab,3.8191353628023164
325,kNN,nab,15.777601870786443
326,kNN,nab,6.886911447114391
327,kNN,nab,70.94244454279762
328,kNN,nab,34.5856788485977
329,kNN,nab,14.199066250337072
330,kNN,nab,16.367080629477414
331,kNN,nab,16.683395622447943
332,kNN,nab,18.322816620432363
333,kNN,nab,62.26173943783071
334,kNN,yahoo,3.519332491924085
335,kNN,yahoo,0.5698190107027177
336,kNN,yahoo,0.5226480836236934
337,kNN,yahoo,0.4019815805634928
338,kNN,yahoo,100.0
339,kNN,yahoo,100.0
340,kNN,yahoo,0.8289964224161079
341,kNN,yahoo,0.9938055049071274
342,kNN,yahoo,0.25663759514590045
343,kNN,yahoo,53.30524324994774
344,kNN,yahoo,0.18966551117431918
345,kNN,yahoo,0.6641988634237813
346,kNN,yahoo,1.1424501424501425
347,kNN,yahoo,0.7703539794541433
348,kNN,yahoo,55.35526673877278
349,kNN,yahoo,0.9225988716817689
350,kNN,yahoo,86.27450980392157
351,kNN,yahoo,0.11560693641618498
352,kNN,yahoo,77.66666666666666
354,kNN,yahoo,0.2604890604890605
355,kNN,yahoo,0.9724787150048138
356,kNN,yahoo,0.5465306980570652
357,kNN,yahoo,0.34004755459448677
358,kNN,yahoo,0.1468330114362029
359,kNN,yahoo,0.7351885186842289
360,kNN,yahoo,0.5681134507950151
361,kNN,yahoo,0.5240895937332609
362,kNN,yahoo,0.48064743526198106
363,kNN,yahoo,0.22441030596351083
364,kNN,yahoo,45.22846491495156
365,kNN,yahoo,33.62461088876183
366,kNN,yahoo,46.18601986249045
367,kNN,yahoo,0.6215316079243546
368,kNN,yahoo,2.231355656373039
369,kNN,yahoo,0.7725321888412017
370,kNN,yahoo,3.2891947598718754
371,kNN,yahoo,0.717263232357788
372,kNN,yahoo,0.5342334992829024
373,kNN,yahoo,0.8604206500956023
374,kNN,yahoo,0.21141649048625794
375,kNN,yahoo,0.10834236186348861
376,kNN,yahoo,0.331697644726081
377,kNN,yahoo,0.6835947205889749
378,kNN,yahoo,2.1149682536118948
379,kNN,yahoo,56.39310835183999
380,kNN,yahoo,80.54899409468523
381,kNN,yahoo,0.13006088280060882
382,kNN,yahoo,20.224576614026635
383,kNN,yahoo,0.6413532246691458
384,kNN,yahoo,46.026383526383526
385,kNN,yahoo,0.49236654434674243
386,kNN,yahoo,0.10121457489878542
387,kNN,yahoo,1.160529047217282
