,timestamps,value,is_anomaly,changepoint,trend,noise,seasonality1,seasonality2,seasonality3
0,1416722400.0,60.013265155213,0,0,-3,63.013265155213,0.0,0.0,0.0
1,1416726000.0,602.611427934299,0,0,-6,178.769568961643,280.8,141.832836716181,7.20902225647558
2,1416729600.0,777.801511096023,0,0,-9,12.0336822872199,486.359866765341,274.0,14.4079620434626
3,1416733200.0,1102.65190938524,0,0,-12,143.970642302291,561.6,387.494516090228,21.5867509927178
4,1416736800.0,835.379818326483,0,0,-15,-139.297318631497,486.359866765341,474.581921273872,28.7353489187664
5,1416740400.0,1180.64870745659,0,0,-18,352.677596789175,280.8,529.327352806409,35.8437578610099
6,1416744000.0,302.809512189302,0,0,-21,-267.092523877476,6.877616424011541e-14,548.0,42.9020360667774
7,1416747600.0,262.824719744359,0,0,-24,-11.602944957816,-280.8,529.327352806409,49.900311895766
8,1416751200.0,11.3911189469076,0,0,-27,-6.65973318804656,-486.359866765341,474.581921273872,56.8287976264223
9,1416754800.0,-307.08393787992,0,0,-30,-166.656257115105,-561.6,387.494516090228,63.6778031449562
10,1416758400.0,-65.0529647940238,0,0,-33,109.869152473476,-486.359866765341,274.0,70.437749497841
11,1416762000.0,65.5960877670062,0,0,-36,163.464068761979,-280.8,141.832836716182,77.0991822888461
12,1416765600.0,29.2636732564835,0,0,-39,-15.3891116453817,-1.37552328480231e-13,6.71106445932749e-14,83.6527849018652
13,1416769200.0,59.6117961128294,0,0,-42,-127.444758702036,280.8,-141.832836716181,90.0893915310464
14,1416772800.0,142.545213608622,0,0,-45,-121.214653156719,486.359866765341,-274.0,96.4
15,1416776400.0,207.165464266272,0,0,-48,-21.5158039956571,561.6,-387.494516090228,102.575784352157
16,1416780000.0,40.9854793254659,0,0,-51,-28.4005733606692,486.359866765341,-474.581921273872,108.608107194666
17,1416783600.0,-94.8890223522991,0,0,-54,93.1497986755393,280.8,-529.327352806409,114.488531778571
18,1416787200.0,-309.620573311927,0,0,-57,175.170592889709,2.06328492720346e-13,-548.0,120.208833798364
19,1416790800.0,-663.535772370736,0,0,-60,80.8305675412518,-280.8,-529.32735280641,125.761012894422
20,1416794400.0,-785.262109454048,0,0,-63,107.542374742932,-486.359866765341,-474.581921273872,131.137303842233
21,1416798000.0,-976.833954435949,0,0,-66,-98.0696257584872,-561.6,-387.494516090228,136.330187412766
22,1416801600.0,-1070.27591835132,0,0,-69,-382.248452474767,-486.359866765341,-274.0,141.332400888791
23,1416805200.0,-330.51564454386,0,0,-72,17.9802439498796,-280.800000000001,-141.832836716182,146.136948222443
24,1416808800.0,129.731846087234,0,0,-75,53.9947362673983,-2.75104656960461e-13,-1.3422128918655e-13,150.737109819836
25,1416812400.0,654.658585066835,0,0,-78,154.899296411639,280.8,141.832836716182,155.126451939014
26,1416816000.0,758.142529860344,0,0,-81,-80.5161725931203,486.359866765341,274.0,159.298835688124
27,1416819600.0,1062.94546657719,0,0,-84,34.6025248757491,561.6,387.494516090228,163.248425611213
28,1416823200.0,843.332795311607,0,0,-87,-197.578690577246,486.359866765341,474.581921273872,166.96969784964
29,1416826800.0,757.199008085621,0,0,-90,-133.385792588477,280.8,529.327352806409,170.457447867689
30,1416830400.0,351.595326948443,0,0,-93,-277.111470783145,1.34148282220776e-12,548.0,173.706797731586
31,1416834000.0,229.317777350833,0,0,-96,-99.9227783873087,-280.799999999999,529.32735280641,176.713202931731
32,1416837600.0,172.401774745224,0,0,-99,103.707261498089,-486.35986676534,474.581921273873,179.472458738603
33,1416841200.0,64.1515054398654,0,0,-102,158.276283266184,-561.6,387.494516090228,181.980706083453
34,1416844800.0,80.0220298423429,0,0,-105,213.147459652116,-486.359866765341,274.0,184.234436955568
35,1416848400.0,-41.2117472666722,0,0,-108,19.5249167086141,-280.8,141.832836716181,186.230499308532
36,1416852000.0,-20.261004176986,0,0,-111,-97.2271056456414,-4.12656985440692e-13,2.01331933779825e-13,187.966101468656
37,1416855600.0,124.646050091987,0,0,-114,-89.7599292312098,280.799999999999,-141.832836716181,189.438816039378
38,1416859200.0,193.984238574883,0,0,-117,-92.0222114866622,486.35986676534,-274.0,190.646583296205
39,1416862800.0,263.895955610534,0,0,-120,18.2027576333442,561.6,-387.494516090228,191.587714067417
40,1416866400.0,266.045658913278,0,0,-123,185.006821325278,486.359866765341,-474.581921273872,192.260892096532
41,1416870000.0,-342.467318836914,0,0,-126,-160.60514191371,280.800000000002,-529.327352806409,192.665175883203
42,1416873600.0,-429.459853088354,0,0,-129,54.7401469116457,4.814331496808079e-13,-548.0,192.8
43,1416877200.0,-494.510539831761,0,0,-132,254.951637091444,-280.799999999999,-529.32735280641,192.665175883203
44,1416880800.0,-973.322665895968,0,0,-135,-69.6417699532868,-486.35986676534,-474.581921273873,192.260892096532
45,1416884400.0,-953.876161297398,0,0,-138,-58.3693592745877,-561.6,-387.494516090228,191.587714067417
46,1416888000.0,-670.747841121386,0,0,-141,39.9654423477515,-486.359866765342,-274.000000000001,190.646583296205
47,1416891600.0,-117.692642194987,0,0,-144,259.501378481816,-280.8,-141.832836716181,189.438816039378
48,1416895200.0,-163.524777900475,0,0,-147,-204.49087936913,-5.50209313920923e-13,-2.684425783731e-13,187.966101468656
49,1416898800.0,378.012083848191,0,0,-150,-80.8512521765213,280.799999999999,141.832836716181,186.230499308532
50,1416902400.0,581.715796721681,0,0,-153,-209.878506999229,486.359866765341,274.0,184.234436955568
51,1416906000.0,700.612704101522,0,0,-156,-274.462518072158,561.6,387.494516090228,181.980706083453
52,1416909600.0,808.012798552042,0,0,-159,-173.401448225774,486.359866765341,474.581921273872,179.472458738603
53,1416913200.0,844.539660469186,0,0,-162,19.6991047310451,280.8,529.327352806409,176.713202931731
54,1416916800.0,649.746883660318,0,0,-165,93.0400859287313,6.18985478161038e-13,548.0,173.706797731586
55,1416920400.0,336.020758589245,0,0,-168,85.0359579151482,-280.800000000001,529.327352806409,170.457447867689
56,1416924000.0,83.4372818594302,0,0,-171,99.2455295012578,-486.35986676534,474.581921273873,166.96969784964
57,1416927600.0,-261.262579889718,0,0,-174,-76.4055215911603,-561.6,387.494516090229,163.248425611213
58,1416931200.0,-173.434553328423,0,0,-177,56.6264777487938,-486.359866765341,274.0,159.298835688124
59,1416934800.0,-83.7628706456479,0,0,-180,80.0778406991572,-280.8,141.832836716182,155.126451939014
60,1416938400.0,-286.901253933741,0,0,-183,-254.638363753576,-2.68296564441551e-12,1.3089967709577098e-12,150.737109819836
61,1416942000.0,340.32865426994,0,0,-186,241.224542763678,280.799999999999,-141.832836716181,146.136948222443
62,1416945600.0,154.243844849209,0,0,-189,-10.4484228049225,486.35986676534,-273.999999999999,141.332400888791
63,1416949200.0,231.560755450903,0,0,-192,113.125084128365,561.6,-387.494516090228,136.330187412766
64,1416952800.0,-19.9830126370375,0,0,-195,32.1017380292593,486.359866765342,-474.581921273872,131.137303842233
65,1416956400.0,-424.794627864032,0,0,-198,-104.028287952045,280.8,-529.327352806409,125.761012894422
66,1416960000.0,-818.350270847364,0,0,-201,-189.559104645727,-1.23866619537309e-12,-548.0,120.208833798364
67,1416963600.0,-911.799029680348,0,0,-204,-12.1602086525101,-280.799999999999,-529.32735280641,114.488531778571
68,1416967200.0,-886.690687105519,0,0,-207,172.642993739028,-486.359866765341,-474.581921273872,108.608107194666
69,1416970800.0,-1115.98474578657,0,0,-210,-59.4660140484988,-561.6,-387.494516090229,102.575784352157
70,1416974400.0,-773.17026513229,0,0,-213,103.78960163305,-486.359866765341,-274.0,96.4000000000001
71,1416978000.0,-529.41914669673,0,0,-216,19.1242984884036,-280.799999999999,-141.832836716181,90.0893915310463
72,1416981600.0,14.6544614726701,0,0,-219,150.001676570806,-8.25313970881384e-13,-4.0266386755965e-13,83.6527849018652
73,1416985200.0,481.288347353077,0,0,-222,203.556328348054,280.799999999997,141.83283671618,77.0991822888461
74,1416988800.0,577.654456696783,0,0,-225,-28.1431595663969,486.35986676534,273.999999999999,70.4377494978409
75,1416992400.0,780.179365900169,0,0,-228,-4.59295333501568,561.6,387.494516090228,63.6778031449562
76,1416996000.0,842.11604347253,0,0,-231,55.3454578068942,486.359866765342,474.581921273872,56.8287976264224
77,1416999600.0,752.7669116126,0,0,-234,126.739246910424,280.8,529.327352806409,49.9003118957661
78,1417003200.0,135.113955653364,0,0,-237,-218.788080413417,2.88929413713586e-12,548.0,42.9020360667774
79,1417006800.0,-74.150929662531,0,0,-240,-118.522040329951,-280.799999999999,529.32735280641,35.8437578610099
80,1417010400.0,-374.303588628681,0,0,-243,-148.260992055979,-486.359866765341,474.581921273872,28.7353489187665
81,1417014000.0,-191.52098663624,0,0,-246,206.997746280814,-561.6,387.494516090229,21.5867509927178
82,1417017600.0,-578.496345194168,0,0,-249,-131.54444047229,-486.359866765343,274.000000000002,14.4079620434627
83,1417021200.0,-244.024952847609,0,0,-252,139.733188179734,-280.799999999999,141.832836716181,7.20902225647555
84,1417024800.0,-267.637443606829,0,0,-255,-12.637443606828,-9.62866299361615e-13,4.69774512152925e-13,2.3611190287560998e-14
85,1417028400.0,-209.554796818322,0,0,-258,-83.3129378456657,280.800000000001,-141.832836716182,-7.20902225647558
86,1417032000.0,-61.2399663473915,0,0,-261,1.80812893073041,486.35986676534,-273.999999999999,-14.4079620434625
87,1417035600.0,-106.181384375608,0,0,-264,5.29988270733607,561.6,-387.494516090227,-21.5867509927177
88,1417039200.0,-274.657665139388,0,0,-267,9.29973828790813,486.359866765342,-474.581921273872,-28.7353489187664
89,1417042800.0,-595.95382008704,0,0,-270,-41.5827094196218,280.800000000001,-529.327352806409,-35.84375786101
90,1417046400.0,-976.938849894945,0,0,-273,-113.036813828167,-9.63561538412631e-13,-548.0,-42.9020360667774
91,1417050000.0,-1279.69746084535,0,0,-276,-143.669796143178,-280.799999999999,-529.32735280641,-49.900311895766
92,1417053600.0,-1219.72066926838,0,0,-279,77.0499163972574,-486.359866765339,-474.581921273873,-56.8287976264223
93,1417057200.0,-1151.74881416121,0,0,-282,143.023505073971,-561.6,-387.494516090229,-63.6778031449561
94,1417060800.0,-1269.90163697383,0,0,-285,-154.104020710648,-486.359866765341,-274.0,-70.437749497841
95,1417064400.0,-399.807063370416,0,0,-288,387.92495563461,-280.799999999999,-141.832836716181,-77.0991822888461
96,1417068000.0,-512.006848556132,0,0,-291,-137.354063654265,-1.10041862784185e-12,-5.368851567462e-13,-83.6527849018652
97,1417071600.0,59.4379693070021,0,0,-294,20.8945241218716,280.799999999997,141.83283671618,-90.0893915310463
98,1417075200.0,510.289234969657,0,0,-297,143.329368204318,486.35986676534,273.999999999999,-96.4
99,1417078800.0,568.511839954055,0,0,-300,21.9931082159844,561.6,387.494516090228,-102.575784352157
100,1417082400.0,520.119022479038,0,0,-303,-29.2146583655081,486.35986676534,474.581921273873,-108.608107194666
101,1417086000.0,405.110597685889,0,0,-306,15.4717766580499,280.800000000001,529.327352806409,-114.488531778571
102,1417089600.0,41.4900405827656,0,0,-309,-77.3011256188738,3.1643987940963197e-12,548.0,-120.208833798364
103,1417093200.0,-273.903111383828,0,0,-312,-84.6694512958174,-280.799999999999,529.32735280641,-125.761012894422
104,1417096800.0,-558.403685270833,0,0,-315,-100.488435937131,-486.359866765341,474.581921273872,-131.137303842233
105,1417100400.0,-599.624443590887,0,0,-318,28.8112277316516,-561.6,387.494516090227,-136.330187412766
106,1417104000.0,-783.186186801266,0,0,-321,-108.493919147135,-486.359866765341,274.0,-141.332400888791
107,1417107600.0,-554.535952268904,0,0,-324,54.5681592373588,-280.800000000003,141.832836716183,-146.136948222443
108,1417111200.0,-328.607244133347,0,0,-327,149.12986568649,-1.23797095632208e-12,6.03995801339475e-13,-150.737109819836
109,1417114800.0,-472.969814419605,0,0,-330,-126.810525764408,280.799999999997,-141.83283671618,-155.126451939014
110,1417118400.0,-272.751657792358,0,0,-333,7.18731113042467,486.359866765342,-274.000000000001,-159.298835688124
111,1417122000.0,-275.255298647128,0,0,-336,49.8876430543129,561.6,-387.494516090228,-163.248425611213
